Brandon Saad,Chicago Blackhawks,Left Wing,21
Roope Hintz,Dallas Stars,Left Wing,19
Brett Connolly,Florida Panthers,Right Wing,19
Joonas Donskoi,Colorado Avalanche,Right Wing,16
Kevin Labanc,San Jose Sharks,Right Wing,14
Adam Gaudette,Vancouver Canucks,Center,12
Mattias Ekholm,Nashville Predators,Defensemen,8
Matt Niskanen,Philadelphia Flyers,Defensemen,8
Rasmus Ristolainen,Buffalo Sabres,Defensemen,6
Alexander Edler,Vancouver Canucks,Defensemen,5
Darnell Nurse,Edmonton Oilers,Defensemen,5
Blake Coleman,Tampa Bay Lightning,Center,21
Patric Hornqvist,Pittsburgh Penguins,Right Wing,17
Andrew Mangiapane,Calgary Flames,Left Wing,17
Jesper Bratt,New Jersey Devils,Left Wing,16
Robby Fabbri,Detroit Red Wings,Center,15
Jared Spurgeon,Minnesota Wild,Defensemen,12
Adrian Kempe,Los Angeles Kings,Center,11
Derick Brassard,New York Islanders,Center,10
Pavel Zacha,New Jersey Devils,Center,8
John Klingberg,Dallas Stars,Defensemen,6
Charlie McAvoy,Boston Bruins,Defensemen,5
Alex Goligoski,Arizona Coyotes,Defensemen,4
James Neal,Edmonton Oilers,Left Wing,19
Craig Smith,Nashville Predators,Right Wing,18
Vladislav Namestnikov,Colorado Avalanche,Center,17
Luke Kunin,Minnesota Wild,Center,15
Joe Pavelski,Dallas Stars,Center,14
Tyler Johnson,Tampa Bay Lightning,Center,14
Dominik Kahun,Buffalo Sabres,Center,12
J.T. Compher,Colorado Avalanche,Left Wing,11
Rocco Grimaldi,Nashville Predators,Right Wing,10
Nick Foligno,Columbus Blue Jackets,Left Wing,10
Filip Hronek,Detroit Red Wings,Defensemen,9
Kyle Turris,Nashville Predators,Center,9
Damon Severson,New Jersey Devils,Defensemen,8
Joe Thornton,San Jose Sharks,Center,7
Nate Schmidt,Vegas Golden Knights,Defensemen,7
Josh Morrissey,Winnipeg Jets,Defensemen,5
Mark Giordano,Calgary Flames,Defensemen,5
Mikael Granlund,Nashville Predators,Center,17
Joel Armia,Montreal Canadiens,Right Wing,16
Zach Sanford,St. Louis Blues,Left Wing,16
Warren Foegele,Carolina Hurricanes,Left Wing,13
Yanni Gourde,Tampa Bay Lightning,Center,10
Oliver Ekman-Larsson,Arizona Coyotes,Defensemen,9
Marcus Johansson,Buffalo Sabres,Left Wing,9
Seth Jones,Columbus Blue Jackets,Defensemen,6
Denis Gurianov,Dallas Stars,Right Wing,20
Tyler Bozak,St. Louis Blues,Center,13
Jack Roslovic,Winnipeg Jets,Center,12
Jesper Fast,New York Rangers,Right Wing,12
Nino Niederreiter,Carolina Hurricanes,Right Wing,11
Derek Ryan,Calgary Flames,Center,10
Cam Fowler,Anaheim Ducks,Defensemen,9
Joel Eriksson Ek,Minnesota Wild,Center,8
Ryan Dzingel,Carolina Hurricanes,Center,8
Erik Gustafsson,Calgary Flames,Defensemen,6
Viktor Arvidsson,Nashville Predators,Right Wing,15
Derek Stepan,Arizona Coyotes,Center,10
Colton Parayko,St. Louis Blues,Defensemen,10
Alexander Kerfoot,Toronto Maple Leafs,Center,9
Jordan Greenway,Minnesota Wild,Left Wing,8
Devon Toews,New York Islanders,Defensemen,6
Jonas Brodin,Minnesota Wild,Defensemen,2
Noel Acciari,Florida Panthers,Center,20
Jeff Carter,Los Angeles Kings,Center,17
Artturi Lehkonen,Montreal Canadiens,Left Wing,13
Scott Laughton,Philadelphia Flyers,Center,13
Valeri Nichushkin,Colorado Avalanche,Right Wing,13
Jordan Staal,Carolina Hurricanes,Center,8
Jacob Trouba,New York Rangers,Defensemen,7
Dmitry Orlov,Washington Capitals,Defensemen,4
Duncan Keith,Chicago Blackhawks,Defensemen,3
Morgan Rielly,Toronto Maple Leafs,Defensemen,3
Jakob Chychrun,Arizona Coyotes,Defensemen,12
Cam Atkinson,Columbus Blue Jackets,Right Wing,12
Kailer Yamamoto,Edmonton Oilers,Right Wing,11
Chandler Stephenson,Vegas Golden Knights,Center,11
Andreas Athanasiou,Edmonton Oilers,Left Wing,11
Ivan Barbashev,St. Louis Blues,Center,11
Danton Heinen,Anaheim Ducks,Left Wing,10
Andrew Copp,Winnipeg Jets,Center,10
Ilya Kovalchuk,Washington Capitals,Left Wing,10
Alex Nylander,Chicago Blackhawks,Left Wing,10
Ryan Graves,Colorado Avalanche,Defensemen,9
Barclay Goodrow,Tampa Bay Lightning,Center,8
